"Name", "Stmts", "Miss", "Cover"
"gen_stm32/__init__.py", "8", "0", "100%"
"gen_stm32/core/__init__.py", "9", "0", "100%"
"gen_stm32/core/model/__init__.py", "9", "0", "100%"
"gen_stm32/core/model/project_setup.py", "14", "0", "100%"
"gen_stm32/core/service/__init__.py", "9", "0", "100%"
"gen_stm32/core/service/engine.py", "27", "3", "89%"
"gen_stm32/core/service/iservice.py", "16", "2", "88%"
"gen_stm32/core/service/isubprocessor.py", "16", "2", "88%"
"gen_stm32/engine.py", "57", "0", "100%"
"gen_stm32/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_stm32/infrastructure/cli/engine.py", "39", "7", "82%"
"gen_stm32/infrastructure/cli/icli.py", "16", "2", "88%"
"gen_stm32/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_stm32/infrastructure/cli/setup/bundle.py", "22", "1", "95%"
"gen_stm32/infrastructure/cli/setup/dep_validator.py", "28", "0", "100%"
"gen_stm32/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_stm32/infrastructure/cli/setup/keys.py", "26", "1", "96%"
"gen_stm32/infrastructure/cli/setup/registry.py", "21", "0", "100%"
"gen_stm32/infrastructure/cli/setup/validator.py", "35", "0", "100%"
"gen_stm32/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_stm32/infrastructure/command/command.py", "16", "0", "100%"
"gen_stm32/infrastructure/command/gen_stm32_command_definition.py", "24", "1", "96%"
"gen_stm32/infrastructure/command/gen_stm32_command_executor.py", "21", "2", "90%"
"gen_stm32/infrastructure/command/icommand_definition.py", "15", "0", "100%"
"gen_stm32/infrastructure/command/icommand_executor.py", "14", "1", "93%"
"gen_stm32/infrastructure/subprocessor.py", "56", "19", "66%"
"gen_stm32/setup/__init__.py", "9", "0", "100%"
"gen_stm32/setup/bundle.py", "23", "1", "96%"
"gen_stm32/setup/dep_validator.py", "28", "0", "100%"
"gen_stm32/setup/dependencies.py", "19", "0", "100%"
"gen_stm32/setup/factory.py", "45", "1", "98%"
"gen_stm32/setup/keys.py", "27", "1", "96%"
"gen_stm32/setup/opt_validator.py", "26", "9", "65%"
"gen_stm32/setup/options.py", "12", "0", "100%"
"gen_stm32/setup/registry.py", "29", "0", "100%"
"gen_stm32/setup/validator.py", "40", "0", "100%"
"Total", "801", "53", "93%"
